latitude;longitude;altitude;;;;
54.5734566667,;-1.23881,;84;;;;
54.5734666667,;-1.2387683333,;84;;;;
54.573475,;-1.2387266667,;84;;;;
54.573485,;-1.238685,;84;;;;
54.5734983333,;-1.2386416667,;84;;;;
54.5735133333,;-1.2385983333,;83;;;;
54.57353,;-1.238555,;83;;;;
54.5735483333,;-1.23852,;83;;;;
54.5735666667,;-1.2384883333,;83;;;;
54.5735833333,;-1.238455,;82;;;;
54.5736016667,;-1.2384233333,;82;;;;
54.57362,;-1.23839,;82;;;;
54.5736433333,;-1.2383633333,;82;;;;
54.57367,;-1.238345,;83;;;;
54.5736983333,;-1.2383266667,;83;;;;
54.5737266667,;-1.2383083333,;83;;;;
54.5737533333,;-1.238295,;83;;;;
54.57378,;-1.23828,;82;;;;
54.5738083333,;-1.2382633333,;82;;;;
54.5738366667,;-1.2382533333,;83;;;;
54.573865,;-1.238245,;83;;;;
54.5738933333,;-1.2382383333,;82;;;;
54.5739216667,;-1.23823,;82;;;;
54.57395,;-1.23822,;82;;;;
54.57398,;-1.2382116667,;82;;;;
54.5740083333,;-1.2382133333,;82;;;;
54.574035,;-1.238225,;82;;;;
54.5740566667,;-1.2382466667,;83;;;;
54.5740766667,;-1.23827,;83;;;;
54.5740933333,;-1.2382883333,;83;;;;
54.5741066667,;-1.2383083333,;81;;;;
54.5741183333,;-1.2383266667,;81;;;;
54.57413,;-1.2383466667,;81;;;;
54.5741366667,;-1.2383683333,;82;;;;
54.5741416667,;-1.2383933333,;82;;;;
54.5741466667,;-1.2384233333,;82;;;;
54.5741416667,;-1.2384516667,;81;;;;
54.5741366667,;-1.2384766667,;81;;;;
54.5741316667,;-1.238505,;81;;;;
54.574135,;-1.2385383333,;81;;;;
54.5741416667,;-1.2385766667,;82;;;;
54.57415,;-1.2386183333,;82;;;;
54.5741616667,;-1.23866,;83;;;;
54.5741633333,;-1.2387033333,;83;;;;
54.5741583333,;-1.23874,;83;;;;
54.57414,;-1.2387633333,;83;;;;
54.5741216667,;-1.2387783333,;83;;;;
54.5740983333,;-1.2387866667,;83;;;;
54.57408,;-1.238795,;83;;;;
54.5740633333,;-1.2388033333,;83;;;;
54.5740466667,;-1.2388183333,;83;;;;
54.57403,;-1.2388333333,;84;;;;
54.5740133333,;-1.2388533333,;84;;;;
54.574;-1.2388866667,;84;;;;
54.5739866667,;-1.238915,;83;;;;
54.5739766667,;-1.2389466667,;83;;;;
54.5739666667,;-1.2389816667,;84;;;;
54.5739583333,;-1.2390133333,;84;;;;
54.5739483333,;-1.2390433333,;83;;;;
54.573935,;-1.23908,;83;;;;
54.573925,;-1.239115,;82;;;;
54.5739133333,;-1.2391433333,;82;;;;
54.5739016667,;-1.23917,;81;;;;
54.5738933333,;-1.2392033333,;81;;;;
54.5738833333,;-1.23923,;81;;;;
54.573875,;-1.2392566667,;81;;;;
54.57387,;-1.2392983333,;82;;;;
54.5738666667,;-1.23934,;83;;;;
54.573865,;-1.2393833333,;81;;;;
54.5738666667,;-1.2394333333,;81;;;;
54.573875,;-1.2394766667,;82;;;;
54.57388,;-1.23952,;82;;;;
54.57388,;-1.23956,;83;;;;
54.5738716667,;-1.2395983333,;83;;;;
54.573855,;-1.2396283333,;83;;;;
54.573835,;-1.23965,;82;;;;
54.5738183333,;-1.239665,;83;;;;
54.5738016667,;-1.2396766667,;83;;;;
54.5737833333,;-1.23969,;83;;;;
54.5737633333,;-1.2396983333,;83;;;;
54.5737416667,;-1.2397033333,;83;;;;
54.57372,;-1.2397116667,;84;;;;
54.5737016667,;-1.2397216667,;84;;;;
54.573685,;-1.2397333333,;83;;;;
54.5736666667,;-1.2397433333,;82;;;;
54.57365,;-1.2397533333,;82;;;;
54.5736333333,;-1.2397633333,;83;;;;
54.573615,;-1.23977,;83;;;;
54.573595,;-1.2397716667,;83;;;;
54.573575,;-1.239765,;83;;;;
54.5735633333,;-1.2397783333,;83;;;;
54.573545,;-1.2398166667,;83;;;;
54.573525,;-1.2398416667,;83;;;;
54.5735083333,;-1.2398566667,;83;;;;
54.5734816667,;-1.2398733333,;83;;;;
54.57345,;-1.2398816667,;83;;;;
54.573415,;-1.2398916667,;83;;;;
54.573395,;-1.2398866667,;84;;;;
54.5733666667,;-1.239875,;84;;;;
54.5733533333,;-1.23986,;84;;;;
54.573335,;-1.2398416667,;84;;;;
54.5733166667,;-1.23985,;84;;;;
54.573295,;-1.2398583333,;84;;;;
54.5732766667,;-1.2398616667,;84;;;;
54.5732416667,;-1.23988,;83;;;;
54.5732216667,;-1.2398583333,;84;;;;
54.5732033333,;-1.23983,;84;;;;
54.5731816667,;-1.239805,;84;;;;
54.5731616667,;-1.239785,;84;;;;
54.5731433333,;-1.23976,;85;;;;
54.5731266667,;-1.239735,;85;;;;
54.5731066667,;-1.2397183333,;85;;;;
54.5730916667,;-1.2397266667,;85;;;;
54.5730733333,;-1.2397383333,;85;;;;
54.5730516667,;-1.2397466667,;84;;;;
54.57303,;-1.2397566667,;84;;;;
54.57301,;-1.2397616667,;83;;;;
54.5729883333,;-1.2397666667,;83;;;;
54.5729666667,;-1.23977,;83;;;;
54.5729433333,;-1.239765,;83;;;;
54.5729183333,;-1.23976,;84;;;;
54.5728916667,;-1.2397566667,;84;;;;
54.5728666667,;-1.2397616667,;83;;;;
54.57284,;-1.23977,;82;;;;
54.572815,;-1.2397783333,;82;;;;
54.57279,;-1.2397833333,;82;;;;
54.5727666667,;-1.23979,;82;;;;
54.5727433333,;-1.2397983333,;83;;;;
54.572715,;-1.239805,;83;;;;
54.572685,;-1.2398116667,;83;;;;
54.572655,;-1.2398183333,;82;;;;
54.5726233333,;-1.239825,;81;;;;
54.5725966667,;-1.23984,;81;;;;
54.5725683333,;-1.2398566667,;81;;;;
54.5725416667,;-1.23987,;81;;;;
54.572515,;-1.2398816667,;82;;;;
54.5724866667,;-1.2398933333,;82;;;;
54.57246,;-1.2399083333,;82;;;;
54.5724333333,;-1.2399216667,;82;;;;
54.5724083333,;-1.239935,;82;;;;
54.572385,;-1.2399483333,;82;;;;
54.5723583333,;-1.2399583333,;82;;;;
54.5723333333,;-1.2399666667,;82;;;;
54.57231,;-1.2399783333,;82;;;;
54.5722883333,;-1.2399916667,;81;;;;
54.5722633333,;-1.2400033333,;81;;;;
54.57224,;-1.2400133333,;81;;;;
54.572215,;-1.24002,;81;;;;
54.5721883333,;-1.2400283333,;81;;;;
54.5721633333,;-1.2400433333,;82;;;;
54.5721416667,;-1.2400633333,;82;;;;
54.57212,;-1.2400833333,;82;;;;
54.5720966667,;-1.2401016667,;81;;;;
54.5720766667,;-1.2401233333,;81;;;;
54.5720566667,;-1.2401483333,;81;;;;
54.5720366667,;-1.2401666667,;82;;;;
54.5720133333,;-1.2401816667,;82;;;;
54.5719883333,;-1.2401983333,;82;;;;
54.5719633333,;-1.2402116667,;82;;;;
54.5719366667,;-1.2402216667,;82;;;;
54.5719066667,;-1.2402316667,;81;;;;
54.5718783333,;-1.2402466667,;82;;;;
54.5718516667,;-1.2402633333,;82;;;;
54.571825,;-1.24028,;82;;;;
54.5717966667,;-1.2402916667,;82;;;;
54.5717666667,;-1.2403033333,;82;;;;
54.5717383333,;-1.2403116667,;82;;;;
54.5717066667,;-1.24032,;82;;;;
54.5716816667,;-1.2403316667,;82;;;;
54.5716533333,;-1.2403433333,;83;;;;
54.57162,;-1.2403583333,;84;;;;
54.57159,;-1.2403683333,;84;;;;
54.5715616667,;-1.24038,;84;;;;
54.5715316667,;-1.2403883333,;84;;;;
54.5715033333,;-1.2404,;83;;;;
54.571475,;-1.2404133333,;83;;;;
54.5714483333,;-1.2404233333,;83;;;;
54.57142,;-1.2404366667,;83;;;;
